"","DATA_RESPOSTA","EMAIL","VINCULO","CAMPUS","TIPO_DOMICILIO","IDADE_0_9","IDADE_10_39","IDADE_40_59","IDADE_MAIS_59","DOENCA_CRONICA","QUARTOS_DOMICILIO","ESTUDANTES","PROFESSORES","SERVICOS_ESSENCIAIS","INFORMAIS_AUTONOMOS"
"402","26/03/2020 18:12:02","7d1264bfbdd970b7e758abe134af701b","Aluno","Montes Claros","Apartamento",0,2,0,0,0,2,2,0,0,0
"403","26/03/2020 18:12:06","1444bdd6b6dd8b8cec97cb9ecb4b9c42","Aluno","Montes Claros","Apartamento",0,1,0,0,0,2,1,0,0,0
"404","26/03/2020 18:12:52","7fe40b2bbd6a29d7ee2a062447f99752","Professor","Montes Claros","Casa",0,3,1,0,0,2,4,1,0,0
"405","26/03/2020 18:13:46","fb98a2174687453845b6691d78eb98d4","Tecnico administrativo","Montes Claros","Apartamento",0,1,0,0,0,1,1,0,0,0
"406","26/03/2020 18:14:23","3c994bf178461e9ca63e143e7da440e2","Aluno","Porteirinha","Casa",0,1,2,0,2,3,1,1,0,0
"407","26/03/2020 18:14:42","37f1fe6bc6e9a0844b084596fda4ae8b","Aluno","Porteirinha","Apartamento",0,1,0,0,0,1,1,0,0,0
"408","26/03/2020 18:14:47","024faff9ac89769cb8b0d8cdcc1ab517","Aluno","Montes Claros","Casa",1,2,2,0,0,2,2,0,1,0
"409","26/03/2020 18:16:23","dd8a30a8ba88c8fe26f545832dddd0b8","Aluno","Montes Claros","Casa",0,1,1,0,0,2,1,0,0,1
"410","26/03/2020 18:16:32","fcef1130ab9a764453eed3fad26b2303","Professor","Porteirinha","Casa",0,1,2,0,0,3,1,1,1,1
"411","26/03/2020 18:16:47","b7930259bc09bf73d96b7db7e66691b0","Aluno","Montes Claros","Casa",1,3,4,2,5,6,5,0,0,1
"412","26/03/2020 18:18:18","d9ba3d1fbac56bf083fe6f7f95480615","Aluno","Salinas","República",0,5,0,0,2,4,5,0,0,0
"413","26/03/2020 18:18:56","1a63fae0ac07e3cb8eb7e24462a36e97","Aluno","Januária","Casa",6,3,2,1,0,3,1,2,1,1
