"","DATA_RESPOSTA","EMAIL","VINCULO","CAMPUS","TIPO_DOMICILIO","IDADE_0_9","IDADE_10_39","IDADE_40_59","IDADE_MAIS_59","DOENCA_CRONICA","QUARTOS_DOMICILIO","ESTUDANTES","PROFESSORES","SERVICOS_ESSENCIAIS","INFORMAIS_AUTONOMOS"
"553","26/03/2020 19:24:21","a68175320e9833da676ce6bc3e99bb2b","Aluno","Montes Claros","Apartamento",0,3,2,0,0,3,3,1,0,2
"554","26/03/2020 19:24:46","ac42790991bbcd53f81bba68c4f68cc5","Aluno","Montes Claros","Casa",0,2,2,0,1,3,2,0,0,0
"555","26/03/2020 19:25:48","b52df7b9d5d2075704f8bd565de778ee","Aluno","Montes Claros","Casa",0,3,2,0,1,4,2,0,0,1
"557","26/03/2020 19:27:58","3c05965e975947376d5d6ad0f6a4d95d","Aluno","Montes Claros","Casa",0,2,2,0,1,3,2,0,2,1
"559","26/03/2020 19:29:49","1ed7bbc7e17d2cf538cc4f219c34ac1b","Aluno","Montes Claros","Casa",0,1,0,2,0,2,1,0,0,1
"560","26/03/2020 19:29:50","28c05a05d67a6d8ac0b659f17ea4e2c7","Aluno","Montes Claros","Casa",0,2,1,0,0,3,3,0,2,0
"561","26/03/2020 19:29:58","25f0529ea909942a492c831025091652","Aluno","Montes Claros","Casa, Pensionato",0,2,0,0,0,3,1,0,1,0
"562","26/03/2020 19:30:01","32a1b906779b6e4a031bc892d974ae9b","Aluno","Montes Claros","Casa",0,2,2,0,1,5,3,1,0,0
"563","26/03/2020 19:30:22","64c7b8d81961e70df7f5aa69a8750293","Aluno","Montes Claros","Casa",1,2,1,0,1,3,2,0,0,1
"565","26/03/2020 19:30:32","57151198ae37201e5eb7420ca560149f","Aluno","Montes Claros","Apartamento",0,3,0,0,0,2,2,0,0,1
"566","26/03/2020 19:30:51","f235f8f1fcfcf59f66dd01f5e16115f2","Aluno","Montes Claros","Casa",0,1,2,0,0,2,1,0,1,0
"567","26/03/2020 19:30:52","c4eba63d0b0c2700ce6313342305976a","Aluno","Montes Claros","Casa",0,2,0,0,0,2,2,0,0,0
"568","26/03/2020 19:31:38","6df41835dbb4211c053ff60623db6325","Tecnico administrativo","Diamantina","Casa",0,0,0,0,0,3,1,0,0,0
"570","26/03/2020 19:33:06","15079a2556930bf2c771a5e655a80bb7","Aluno","Montes Claros","Casa",0,3,2,0,0,4,1,0,0,3
"571","26/03/2020 19:34:05","a20916b6d84f3d8bf6323928de8d8bcb","Aluno","Montes Claros","Casa",0,1,0,2,1,2,1,0,0,0
"572","26/03/2020 19:34:12","bd65faf4dae98396eff013392be88413","Aluno","Montes Claros","Casa",0,3,1,0,1,4,2,0,0,3
"573","26/03/2020 19:34:32","31845d10d1fd4b193c8acb0084c7d522","Aluno","Porteirinha","Casa",0,2,2,0,1,4,2,1,0,1
"574","26/03/2020 19:34:51","ef79270389dff9897c7c25516349748b","Aluno","Montes Claros","Casa",0,2,1,0,1,2,2,0,0,1
"575","26/03/2020 19:34:51","97c2bdcbd6a5037f3c72b22eebfa5fe4","Aluno","Montes Claros","Casa",0,1,2,0,0,3,1,1,1,1
"577","26/03/2020 19:37:04","589e3e46e4c905d978697fa3ffceafc4","Professor","Montes Claros","Casa",0,2,2,0,1,4,2,1,0,1
"578","26/03/2020 19:37:06","b04d81c3682e26801faef6a32d512a49","Aluno","Montes Claros","Casa",0,1,2,0,0,3,1,0,0,1
"579","26/03/2020 19:37:47","89d92a2d93c9aec477dd89825746d031","Aluno","Montes Claros","Apartamento",0,3,0,0,0,3,3,0,0,0
"580","26/03/2020 19:37:55","fe3e521dd737324aea8fc4ea3f721c6d","Aluno","Montes Claros","Casa",0,1,1,0,0,3,1,0,0,0
"581","26/03/2020 19:38:48","cd05a4b43cb2bb90bfe7c87bdc5526c9","Aluno","Porteirinha","Casa",0,1,2,0,1,2,2,0,1,0
"582","26/03/2020 19:40:30","84d7bdfc992e36a0de8f8c46e80af22b","Aluno","Montes Claros","Casa",0,2,2,0,2,2,2,0,2,0
"583","26/03/2020 19:40:38","3df8e9d8d1af1ea6368f46dc63e29836","Aluno","Montes Claros","Apartamento",0,3,0,0,0,2,1,0,0,0
"584","26/03/2020 19:40:51","d8b79a2d46bf41838583d1aa90219796","Aluno","Montes Claros","Casa",0,1,2,0,1,2,1,0,0,0
"587","26/03/2020 19:41:47","858a36ea03cd925a433cfac0e16f9b72","Aluno","Montes Claros","Apartamento",0,4,0,0,0,2,4,0,0,1
"588","26/03/2020 19:42:33","11189db50ad6917282a8e0120ae96858","Professor","Diamantina","República",0,5,0,0,0,5,5,1,0,0
"589","26/03/2020 19:42:56","c084222a37df580d499c05f39bf49785","Aluno","Montes Claros","Apartamento",0,2,0,0,0,2,2,0,1,0
"591","26/03/2020 19:43:05","e7af80d7bc9f9599825b6617af5e5366","Aluno","Montes Claros","Apartamento",0,3,0,0,2,3,3,0,0,0
"592","26/03/2020 19:43:15","fe1db3f1809d34ca8a9d189f791e1b9e","Aluno","Montes Claros","Casa",0,2,0,0,1,3,1,1,0,0
"594","26/03/2020 19:43:34","a19dc5b9137f3f747b89dc1e65d13afd","Aluno","Montes Claros","Casa",1,2,2,0,0,2,2,0,0,1
"595","26/03/2020 19:44:11","a3088b10a879a7eb30423cf00efd7cf2","Aluno","Montes Claros","Casa",0,2,2,0,1,4,2,1,0,1
"596","26/03/2020 19:44:40","e6918ef5ced35557468c121a1fd4979f","Aluno","Montes Claros","Casa",0,2,2,0,0,2,1,0,3,0
"597","26/03/2020 19:44:44","260bf1892503f6ace6545a2949c70a3c","Aluno","Montes Claros","Apartamento",0,2,0,0,0,2,2,0,0,0
"598","26/03/2020 19:45:05","69f5f42edf1b0658492d7c695a43b091","Aluno","Montes Claros","Casa",0,2,0,0,1,3,2,0,0,0
"599","26/03/2020 19:46:59","649c174cb846e74eeed5741abad6580a","Aluno","Montes Claros","Casa",1,3,0,2,2,3,2,0,1,1
"600","26/03/2020 19:47:07","ed329961f176685e2a0c066023adf3df","Aluno","Montes Claros","Casa",3,6,0,3,3,4,5,1,1,2
"601","26/03/2020 19:47:15","a1cb3e9ec39e3516047adc25c073dc0d","Aluno","Montes Claros","Casa",0,1,2,0,1,2,1,0,1,0
"602","26/03/2020 19:48:34","c38bc7ebf297212c44e9b6df17b990dc","Aluno","Montes Claros","Apartamento",0,0,0,0,1,2,2,0,0,0
"603","26/03/2020 19:48:48","164362d95b641a28caedb1097b695da9","Aluno","Montes Claros","Apartamento",0,3,0,0,0,3,3,0,0,0
"604","26/03/2020 19:49:16","01b268f43c3c40db2daa851526d99934","Aluno","Montes Claros","Casa",1,2,2,2,3,4,3,0,1,1
"605","26/03/2020 19:49:23","c33f0d2acaf27d0476a119038481dfce","Aluno","Montes Claros","Casa",6,1,1,2,1,4,2,0,0,0
"606","26/03/2020 19:49:41","2c797f87b24649af295e6dcf2a5aaf65","Aluno","Montes Claros","Casa",0,2,0,1,0,3,1,0,0,2
"607","26/03/2020 19:49:46","26e43d1cc5e01ea98887c1af69d7c629","Aluno","Montes Claros","Apartamento",1,3,0,0,0,2,1,0,1,0
"608","26/03/2020 19:50:26","39058e845b967a1d55e46a17fb71bb6e","Aluno","Montes Claros","Apartamento",0,2,0,0,0,2,2,0,0,0
"609","26/03/2020 19:50:48","5b92232345c82aaa7d3d02aa5ccce2a2","Aluno","Montes Claros","Casa",0,3,2,0,1,3,3,0,0,1
"610","26/03/2020 19:51:16","35abf98c2ee9faf0f65e5e7fe40cccb7","Aluno","Montes Claros","Casa",1,2,2,0,1,2,3,0,1,1
"611","26/03/2020 19:51:44","23317e26fe2f28c6a2bee73d299bfbe5","Aluno","Montes Claros","Casa",0,1,1,0,0,3,1,0,1,0
"613","26/03/2020 19:52:55","e8f9ea90c719e9d571ef52c51df15864","Aluno","Januária","Apartamento",0,3,0,0,0,2,3,0,0,0
"614","26/03/2020 19:55:12","e54332168128bfa34a474b3452a607d1","Aluno","Porteirinha","Casa",0,0,0,1,1,3,1,0,0,0
"615","26/03/2020 19:57:32","5b677db9d0a5a08147ca55a268d07eac","Aluno","Porteirinha","Casa",0,2,1,0,1,3,1,1,0,0
"616","26/03/2020 19:57:51","f863fdaa9e1d0dba03af0a2159da8314","Aluno","Montes Claros","Casa",0,2,2,0,0,3,2,0,1,0
"617","26/03/2020 19:57:53","567c64db71a1abca4909e6320fc1e726","Aluno","Montes Claros","Casa",0,3,2,0,0,4,3,2,0,0
"619","26/03/2020 19:58:48","d667df90c997122962aa59f0182b8949","Aluno","Montes Claros","Casa",0,3,1,0,0,3,2,0,0,0
"620","26/03/2020 19:59:31","759f928aebbc6ece56f58cc6c67309f9","Aluno","Montes Claros","Casa",1,1,2,0,1,3,3,1,0,0
"621","26/03/2020 19:59:43","792b843d467bf3210695143f65ecf898","Aluno","Januária","Casa",0,4,0,0,3,2,1,0,1,0
"625","26/03/2020 20:05:21","8be6680175bc7f2dee5da4be5500de89","Aluno","Montes Claros","Casa",0,2,2,0,1,3,2,0,1,1
"626","26/03/2020 20:06:48","b1bd714f447e6be09b38ce2981b15d0d","Aluno","Montes Claros","Casa",0,1,1,0,0,3,1,0,0,1
"627","26/03/2020 20:07:25","a26aa39e1149573f2174e75765dd3430","Aluno","Montes Claros","Casa",0,3,2,0,1,4,3,0,2,0
"628","26/03/2020 20:07:44","4755327b0b8bdcb6b488f0fd591d8632","Aluno","Montes Claros","Casa",0,2,1,1,2,3,2,1,1,0
"629","26/03/2020 20:08:45","9a1b20e0636727f84746ce662c43d222","Aluno","Montes Claros","Apartamento",0,1,0,0,0,2,1,0,0,0
"630","26/03/2020 20:08:54","bfb079022c2af8ae4fcd5893e95f37eb","Aluno","Montes Claros","Apartamento",0,2,0,0,1,2,2,0,0,0
"631","26/03/2020 20:09:58","04aa098809e7e6e3be4b4ad025c0da4e","Aluno","Montes Claros","Casa",0,1,2,0,0,2,1,0,0,0
"632","26/03/2020 20:11:17","9016f5a23949ed9bf5eb7d2fa4068870","Tecnico administrativo","Diamantina","Casa",1,3,0,0,0,2,1,0,0,0
"633","26/03/2020 20:13:46","bae2524b0af431004c8135b1c0b92fba","Aluno","Porteirinha","Casa",2,3,0,0,1,2,4,0,0,1
"634","26/03/2020 20:14:42","4070514bc1dbd7c73cf6e7eb93d2e5c6","Aluno","Montes Claros","Casa",3,1,2,0,0,3,1,0,1,0
"635","26/03/2020 20:15:38","57dd9275da73ca80a9078045e7633022","Aluno","Montes Claros","Casa",0,2,2,0,0,3,2,0,1,0
"636","26/03/2020 20:17:42","153d3e6090000a2fcba1a7fb065666cf","Aluno","Porteirinha","Casa",1,2,0,0,0,2,2,0,0,0
"637","26/03/2020 20:18:24","102b9164ad75fd8873b8b70040a258df","Aluno","Januária","Alojamento",0,8,0,0,0,1,8,0,0,0
"638","26/03/2020 20:19:26","986a7d19c9a18f1cb67bd4084238e4f8","Professor","Diamantina","Casa",1,2,0,0,0,3,1,1,0,1
"639","26/03/2020 20:20:00","18bf498fa35bef8dab940b31c5ab18c2","Aluno","Montes Claros","Casa",0,1,1,1,2,3,2,2,1,0
"640","26/03/2020 20:21:00","6e189edb2205d7dbfa2196160acd43ee","Aluno","Montes Claros","Apartamento",0,3,0,0,0,3,3,0,0,0
"641","26/03/2020 20:21:58","f9e936e8e852dd50160e82995d556f6f","Professor","Diamantina","Apartamento",0,0,0,0,0,2,0,1,0,0
"642","26/03/2020 20:22:30","e2376a4fd6112aa22a76ca41cb75fd83","Aluno","Montes Claros","Apartamento",0,2,0,0,2,2,2,0,0,1
"643","26/03/2020 20:23:36","9497783415239ca060ccbde543c36b4f","Aluno","Montes Claros","Casa",0,4,2,1,2,6,3,1,0,0
"644","26/03/2020 20:26:01","172a9a7d3b1e62bca865caa12947dc7f","Aluno","Porteirinha","Casa",0,2,0,0,0,2,1,0,0,0
"645","26/03/2020 20:26:54","82eb9d58126dc98d852a4170ae2dfd5a","Aluno","Januária","Alojamento",0,10,0,0,0,1,10,0,0,0
"647","26/03/2020 20:28:44","38b2289ceb617b36cdd440539d6ad7f4","Aluno","Montes Claros","Casa",0,2,2,0,1,2,2,0,0,2
"648","26/03/2020 20:34:02","b930284090763a88140df300522d196b","Aluno","Montes Claros","Casa",0,2,1,1,2,3,2,0,1,2
"649","26/03/2020 20:41:27","affe1f5bdbc454baa14bc98193eda00a","Aluno","Montes Claros","Apartamento",0,2,4,0,6,3,2,3,0,1
"650","26/03/2020 20:43:46","affe1f5bdbc454baa14bc98193eda00a","Aluno","Montes Claros","Apartamento",0,2,4,0,6,3,2,3,0,1
"651","26/03/2020 20:45:02","c19fb308b39b61664ae0e3e6629f5f90","Aluno","Montes Claros","Apartamento",0,3,0,0,0,3,3,0,0,0
"652","26/03/2020 20:46:12","1f24c73ed2b3b72aa3757ea04914e9cd","Aluno","Montes Claros","Apartamento",0,0,0,0,0,2,1,0,0,0
"653","26/03/2020 20:47:52","e47e66ff8524672f596583ae25399362","Aluno","Januária","Casa",1,4,2,0,0,4,2,1,1,1
"654","26/03/2020 20:48:18","1b77c5c2a54b0bc56141d7c6451f7f42","Aluno","Montes Claros","Apartamento",0,1,1,1,2,3,1,0,0,1
"655","26/03/2020 20:49:50","19419b443bce2dea185e696a7f4acabd","Aluno","Montes Claros","Casa",0,2,2,0,2,4,1,0,0,2
"656","26/03/2020 20:49:53","92db88b673275ba2b6bc09aa2f31d65d","Aluno","Montes Claros","Apartamento",0,2,2,0,0,3,2,1,0,1
"657","26/03/2020 20:50:41","4725a7000aa7c1bdb10dd4fb11b3894a","Aluno","Montes Claros","Casa",1,2,0,0,0,8,1,2,0,0
"658","26/03/2020 20:52:34","6b0164cad3e87b3caa8606731bf13de5","Aluno","Montes Claros","Casa",1,1,2,0,2,2,1,0,1,0
"659","26/03/2020 20:52:44","5fa2aa2604048d09d702d434f0e52b4e","Aluno","Montes Claros","Casa",0,3,1,0,1,3,2,0,1,0
"660","26/03/2020 20:53:42","ab5a423321e2c91af0b4df68d1195a7d","Aluno","Porteirinha","Casa",4,2,2,0,1,3,2,0,0,2
"661","26/03/2020 20:54:04","8137cbe9e764dfa339dcee531a410f85","Aluno","Montes Claros","Casa",0,1,1,1,3,5,1,0,1,0
"662","26/03/2020 20:57:33","be4e28f2519466440c34dc275a675820","Aluno","Montes Claros","Apartamento",0,2,0,0,1,2,2,0,0,1
"664","26/03/2020 21:03:42","19a046315aed0cb00e1027c8dab2c48f","Aluno","Montes Claros","Casa",0,1,2,0,0,2,1,1,0,0
"666","26/03/2020 21:06:52","32b27af6023c9aa97e55597c80bbe63e","Aluno","Porteirinha","Casa",0,2,2,0,1,3,1,0,0,2
"668","26/03/2020 21:08:34","e23b6d67d3e27ce337a6c3ac19608446","Aluno","Januária","Casa",0,3,0,1,0,6,1,0,2,0
"669","26/03/2020 21:08:52","073eb9f4776d3f778070a57f50159ed9","Aluno","Januária","Pensionato",0,16,2,0,0,14,16,0,8,0
"670","26/03/2020 21:09:34","5d51dbb29d4509496469f0c1c0c7f3e7","Aluno","Montes Claros","Apartamento",2,0,1,1,1,4,2,0,1,1
"671","26/03/2020 21:10:06","c219f15e8be7c67290ce490fef0d61cd","Professor","Diamantina","Apartamento",0,2,1,0,0,3,2,1,0,0
"672","26/03/2020 21:11:29","b4499db743a124c1785bb72b07cb94ca","Aluno","Montes Claros","Casa",1,2,0,0,0,2,1,0,0,0
"673","26/03/2020 21:13:48","ce88dbb6359ccd646480d596c46a7752","Aluno","Araçuaí","Casa",0,1,2,0,1,3,1,0,0,0
"674","26/03/2020 21:14:04","591b390905443afb8d4446b1528ae5fb","Aluno","Araçuaí","Fazenda",0,2,2,1,0,3,2,0,2,0
"675","26/03/2020 21:14:35","570441853fa1e9c914caa6a5333af119","Aluno","Araçuaí","Casa",0,2,1,0,2,4,2,0,0,1
"676","26/03/2020 21:15:02","4da10dfc7a712a5aa1a1db1533f5bdec","Professor","Diamantina","Casa",2,2,0,0,2,4,2,1,1,0
"677","26/03/2020 21:17:56","5a922e54f31d8c70c36dbef98552f4cb","Aluno","Araçuaí","Casa",0,2,2,0,0,3,1,0,0,1
"678","26/03/2020 21:18:44","93954da44469fdad6f0be0aba5825bd1","Aluno","Montes Claros","Casa",0,2,1,0,0,2,3,0,1,1
"680","26/03/2020 21:21:33","836ebd6f5283309595415d3c799958f2","Aluno","Araçuaí","Apartamento",0,3,0,0,1,2,3,0,2,1
"681","26/03/2020 21:21:46","44facf6f844e7469479f00179ccb2e7f","Aluno","Araçuaí","Casa",0,2,1,1,3,3,2,0,0,1
"682","26/03/2020 21:25:45","ed7f16234606a3c556700e67dd2c0164","Aluno","Januária","República",0,5,0,0,0,4,4,0,2,0
"683","26/03/2020 21:25:49","5a69ed06c5be4ce862d2e7ac4a2572ac","Professor","Montes Claros","Casa",0,1,2,0,3,4,0,1,0,0
"684","26/03/2020 21:28:15","e42063ab9867b06cc1b6b859469fc732","Aluno","Montes Claros","Casa",0,2,2,0,1,3,2,1,0,1
"685","26/03/2020 21:35:35","fa6e9f61be56927dd3e8e17e4fc96ba2","Aluno","Montes Claros","Casa",0,4,0,0,0,2,3,0,2,0
"686","26/03/2020 21:36:24","964748ea7564aa2e5d685659b4f31218","Aluno","Januária","Casa",1,4,3,1,1,2,3,0,1,1
"690","26/03/2020 21:42:37","928d357af66c90f049a3cfb8fed56049","Aluno","Januária","Casa",0,5,2,2,3,4,5,1,0,1
"691","26/03/2020 21:42:53","0fcaa7c68ec9b38e4f304f3b111acf87","Tecnico administrativo","Diamantina","Casa",1,2,0,0,1,3,1,0,0,0
"693","26/03/2020 21:45:18","38a439bbb2a8a8b735d88d524b4c3516","Aluno","Montes Claros","Casa",0,3,0,0,0,2,3,0,1,0
"694","26/03/2020 21:49:13","11176549f24f7d6c1a60f66e75532161","Aluno","Araçuaí","Casa",3,3,1,0,1,2,2,0,1,0
"695","26/03/2020 21:51:47","9d84bea2c5c93893bc61ccbe4b69b116","Aluno","Montes Claros","Casa",3,3,1,2,3,4,4,0,0,3
"696","26/03/2020 21:56:10","5eca3417d495be01dc570084603dbf5c","Aluno","Montes Claros","Casa",1,3,1,0,0,3,3,1,1,0
"697","26/03/2020 21:57:30","b982f1ef302f73de5ebcf9dd0b3bf5f9","Aluno","Porteirinha","Casa",2,2,0,0,0,2,2,1,0,1
"698","26/03/2020 21:59:26","6e974b5c16b0717b9830af32a0e3d4a9","Professor","Diamantina","Casa",0,0,1,0,0,3,1,1,0,0
"699","26/03/2020 22:09:53","f3c3319c824ab632342d6dcf338d289d","Aluno","Porteirinha","Casa",0,2,2,0,3,2,1,0,0,0
"700","26/03/2020 22:14:23","1600afa679ca882f9005d213269e1c82","Aluno","Montes Claros","Casa",1,2,0,0,2,3,1,0,2,0
"702","26/03/2020 22:18:35","8b3c2e1fedebae0e6f0fb51623ecfa4a","Aluno","Montes Claros","Apartamento, Casa",0,1,1,1,2,2,1,0,0,2
"703","26/03/2020 22:22:16","b120b62a170aee323bee8f62648712f8","Aluno","Januária","Casa",0,5,0,0,0,4,2,1,1,0
"705","26/03/2020 22:29:20","48028e6d0e05feeecf96bddf9196cc42","Aluno","Porteirinha","Casa",0,2,2,0,1,4,1,0,0,1
"706","26/03/2020 22:31:45","c653befffec7a73328613e246606c6b5","Aluno","Montes Claros","Casa",2,5,1,0,2,3,2,0,3,1
"708","26/03/2020 22:35:44","daf9de5d2b3438974a127f0b9ceafe12","Aluno","Montes Claros","Casa",0,2,0,0,1,3,1,0,0,1
"710","26/03/2020 22:36:25","5199edc6d488e4fad32db68376397a15","Professor","Diamantina","Casa",0,4,0,0,3,4,2,1,0,0
"711","26/03/2020 22:37:02","2ac12c3f948201115cb7ac94ad372211","Professor","Diamantina","Casa",1,0,2,0,1,4,1,2,0,1
"712","26/03/2020 22:43:51","7d95f3de79c31c9dcaf7924e97d77e27","Aluno","Montes Claros","Casa",1,4,2,1,1,4,3,0,2,2
"713","26/03/2020 22:46:25","40c345cef4503a178230b4e978219531","Aluno","Januária","República",0,12,0,0,0,8,12,1,0,0
"715","26/03/2020 22:57:22","963413c486f84e52e012281cce7637a8","Aluno","Montes Claros","Casa",1,2,2,0,1,4,3,0,0,3
"716","26/03/2020 23:02:31","a10565636f5d2d0a0f9d0de65439e0dc","Aluno","Montes Claros","Casa",0,3,1,1,3,4,2,1,1,1
"717","26/03/2020 23:34:44","17159b96212575a584883daa076dcf8a","Aluno","Januária","Casa",1,4,0,2,2,4,2,0,3,0
"718","26/03/2020 23:46:46","68012f7f1dc6112ceab0c0f9b6458520","Aluno","Porteirinha","Casa",0,2,1,1,0,2,2,0,0,1
"719","26/03/2020 23:56:04","ce4d9de042c2579e02500bdc644c88ee","Aluno","Montes Claros","Apartamento",0,3,1,0,1,3,2,0,2,0
"720","27/03/2020 00:19:22","ea8d72846ed212e32da6d69014fed2d2","Aluno","Januária","Pensionato",0,15,1,2,0,20,15,0,0,0
"721","27/03/2020 00:53:50","fd0ed331e13e2513bd3adef22174df2e","Aluno","Januária","República",3,3,0,0,0,2,2,0,0,0
"722","27/03/2020 00:54:59","2b05f9ab0fa3b1627e6a9f709adf24a4","Aluno","Montes Claros","Casa",0,4,0,0,1,3,2,0,0,0
"723","27/03/2020 01:25:16","6422fd21bcc915fe51c9402246a8af1d","Aluno","Januária","Casa",1,3,1,0,1,3,3,0,1,1
"724","27/03/2020 01:33:01","96410534d4f77b72267a7b84a660e19a","Aluno","Januária","Casa",0,2,1,0,0,5,2,0,0,1
"725","27/03/2020 01:33:52","e4aa5ef509348f18503065182c2f9ac3","Aluno","Januária","Casa",0,2,1,0,0,2,2,1,1,0
"728","27/03/2020 02:35:27","abd24d6331a1557f75102f994236e51b","Aluno","Januária","Casa",0,3,2,0,0,4,1,1,0,0
"729","27/03/2020 07:04:25","4d44ee5d700451ab67b8826b7bd18e73","Aluno","Januária","Casa",3,1,0,0,0,1,3,0,0,0
"730","27/03/2020 07:15:16","b6d8c498d58a6d181b88527b88742f2f","Aluno","Januária","República",0,4,0,0,1,5,4,0,0,0
"731","27/03/2020 07:45:05","274657dda23328b49966277cc412a9ec","Aluno","Januária","Apartamento",0,2,0,0,0,1,2,0,0,0
"732","27/03/2020 07:46:16","34156a419829a893f706a94d98273362","Aluno","Januária","Apartamento",0,2,0,0,0,2,2,0,0,0
"733","27/03/2020 07:46:28","c7b80fe8510a1be8cde52432e3360ce4","Aluno","Januária","Apartamento",0,1,0,0,0,1,1,0,0,0
"734","27/03/2020 08:18:13","cfd678fc0e8591488ec91580904295df","Aluno","Montes Claros","Casa",0,3,1,1,0,4,3,0,0,1
"735","27/03/2020 08:25:26","85699c3864e50588a33e9d0690aa982b","Aluno","Januária","Casa",0,3,2,0,2,2,1,0,0,1
"736","27/03/2020 08:47:24","f4016fc3fbce64ecf0a3815a55e8ba24","Aluno","Montes Claros","República",0,4,0,0,2,4,3,0,0,1
"737","27/03/2020 08:51:10","698200e9a6db54bfb4cc86ed2806ceb1","Aluno","Januária","Casa",4,4,1,1,1,4,6,0,0,3
"738","27/03/2020 08:54:51","71d459cb27cf55fcf1a649c2cc52fd16","Professor","Januária","Casa",0,2,2,0,1,3,2,1,0,1
"739","27/03/2020 09:08:39","a697fa396982a53fdc1230a09259154e","Tecnico administrativo","Diamantina","Apartamento",0,1,1,0,2,3,0,1,0,0
"740","27/03/2020 09:14:41","05ce3eec9b4bad12d0c9c5ead3db5942","Aluno","Montes Claros","Apartamento",0,4,0,0,0,2,4,0,0,0
"741","27/03/2020 09:15:23","a7190aba6a74455ee3a10b43356dbda4","Professor","Diamantina","Casa",1,0,2,0,0,3,1,1,0,1
"742","27/03/2020 09:15:49","4290e0b246b08a25d735f9026c436f6f","Professor","Diamantina","Sítio",2,4,1,0,0,3,3,2,0,0
"743","27/03/2020 09:24:02","50ab5e5e5cdfc8e519ce56f0fb34b2f8","Aluno","Januária","Pensionato",0,20,0,0,0,20,20,0,5,0
"744","27/03/2020 09:25:57","48b6164c054425b3f5bc85500eb6dc6b","Professor","Diamantina","Casa",0,2,0,0,0,4,1,1,0,0
"745","27/03/2020 09:29:39","ab185b30cd7422da8bf0140ef5d8d465","Tecnico administrativo","Diamantina","Apartamento",0,2,0,0,0,3,1,0,0,0
"746","27/03/2020 09:35:53","8fbd2a846282713488090a09d752230f","Aluno","Porteirinha","Casa",1,1,2,0,0,3,2,3,1,1
"747","27/03/2020 09:37:36","734930a8ddd15c6dee7c3ab509ffe52b","Professor","Januária","Casa",1,1,1,0,0,5,0,1,0,1
"748","27/03/2020 09:45:00","622dd65ccf867ca87b89f0dd0b3f04c4","Aluno","Januária","Casa",0,0,0,0,0,2,2,0,0,0
"749","27/03/2020 09:47:48","563418954a7c551692adfb4d57ef9ca1","Aluno","Porteirinha","Apartamento",1,1,2,0,0,3,2,0,0,1
"750","27/03/2020 09:55:51","248b178591e2d7ec60eec5a8769a7861","Aluno","Porteirinha","Casa",1,2,1,2,2,4,4,0,1,0
"751","27/03/2020 09:58:43","f0a881f0651b399f697108fc82ff27e1","Aluno","Porteirinha","Casa",1,2,1,2,2,4,4,0,1,0
"752","27/03/2020 10:00:32","afea1eedde5426af593cf47d6fc423c0","Aluno","Montes Claros","Casa",0,3,1,1,2,3,2,1,1,0
"753","27/03/2020 10:07:14","1dc93e563beaf1621f03a6ad2be9b695","Tecnico administrativo","Diamantina","Apartamento",0,1,1,0,0,2,1,0,0,0
"754","27/03/2020 10:18:34","bd7504dfcd6d0a2b8540acec07d609a2","Aluno","Teófilo Otoni","Apartamento",0,3,0,0,0,4,1,0,2,0
"755","27/03/2020 10:22:06","fc0250542726a99c117c93f35718c5b9","Aluno","Januária","Casa",0,1,1,0,0,2,1,0,0,0
"756","27/03/2020 10:22:26","7ec34e763f3b001bea9bf275749428a1","Aluno","Januária","Casa",0,3,1,0,0,2,2,0,1,1
"757","27/03/2020 10:24:42","3ddb277a5eb1da31a0cb18c3dcbbff22","Aluno","Januária","Apartamento",0,2,0,0,0,3,1,0,0,0
"758","27/03/2020 10:41:58","ead57ae212e57d5574b3266f76a901ef","Aluno","Araçuaí","Casa",1,3,1,2,4,4,2,0,1,1
"759","27/03/2020 10:49:15","b4c93b44ff49eb7f7fb9805935b5b067","Aluno","Araçuaí","Casa",1,1,2,0,0,2,1,0,0,1
"760","27/03/2020 10:52:57","f753097c8424b0c824c8ddff70d14906","Aluno","Januária","Casa",1,4,1,0,0,2,4,0,1,0
"761","27/03/2020 10:56:04","0e4fbb02f87edb7dab074ca261514660","Aluno","Porteirinha","Casa",0,0,1,0,1,2,1,0,0,1
"762","27/03/2020 10:56:29","35166c3f3a51b52066f8688c87845c02","Aluno","Montes Claros","Apartamento",0,3,1,0,3,2,3,0,1,1
"763","27/03/2020 10:57:47","611e6b1d06a7a5d84c1bf0ba0d6b2c03","Aluno","Januária","Apartamento",0,1,0,0,0,2,1,0,0,0
"764","27/03/2020 10:58:58","6de6fabf9e10f675c7bed521e6948e21","Aluno","Januária","República",0,4,0,0,0,3,4,0,0,0
"765","27/03/2020 11:08:50","08d55c43643fe064ec1e2d179a92f753","Aluno","Januária","Casa",8,4,1,0,0,2,4,0,1,0
"766","27/03/2020 11:50:43","c6eb9163a0333acee3dea1c771f62c3c","Aluno","Januária","Casa",4,2,0,0,0,3,1,1,0,0
"768","27/03/2020 12:08:18","0aa9447e36e4432c67e3c5469c2754f0","Aluno","Araçuaí","Casa",2,2,0,0,0,2,2,0,1,0
"769","27/03/2020 12:31:13","ba530092ad4e6854a8b504c0505d1032","Aluno","Montes Claros","Casa",0,2,0,0,0,1,2,0,0,0
"770","27/03/2020 12:09:57","e41a4df603e3ed9fe6a87a05f45beca7","Aluno","Januária","Casa",0,1,2,0,0,3,1,0,1,0
